Agile Software Development,1,1,55000,4.76,46467,30.56,8472
Developer,2,-1,50000,6.60,43870,28.85,10663
Finance,3,0,60000,9.09,31233,20.54,4999
SQL,4,0,48750,8.33,30366,19.97,5746
JavaScript,5,0,50000,11.11,26338,17.32,6302
C#,6,0,50000,11.11,25531,16.79,5097
Microsoft,7,0,45000,2.27,25505,16.78,5147
Java,8,1,57500,4.54,23872,15.70,4428
.NET,9,-1,50000,11.11,22510,14.81,4608
Windows,10,2,42500,6.25,20415,13.43,3417
Analyst,11,2,40000,0,19493,12.82,2474
SQL Server,12,-1,47500,5.55,19202,12.63,3568
HTML,13,-3,45500,1.11,18857,12.40,4644
Degree,14,1,47500,0,18464,12.14,4554
Microsoft Azure,15,13,57500,9.52,17187,11.30,3415
CSS,16,-2,47500,5.55,16720,11.00,4198
Python,17,4,60000,9.09,16172,10.64,3394
Linux,18,-2,52500,5.00,16010,10.53,3273
Amazon AWS,19,8,62500,4.16,15697,10.32,3199
Software Engineering,20,2,52925,5.85,15055,9.90,3442
Problem-Solving,21,-3,47500,5.55,15019,9.88,3043
Scrum,22,-2,55000,4.76,13369,8.79,2364
DevOps,23,8,62500,0,13252,8.72,2797
TDD,24,-5,55000,10.00,12028,7.91,2448
MVC,25,-8,47500,5.55,11872,7.81,2602
AngularJS,26,-2,52500,10.52,11864,7.80,2555
Analytical Skills,27,-2,50000,5.26,11742,7.72,2216
Project Management,28,-2,55000,4.76,11250,7.40,1762
Test Automation,29,4,50000,0,10816,7.11,2052
Active Directory,30,4,37500,7.14,10484,6.90,1541
Git software,31,1,50000,0,10372,6.82,2600
ASP.NET,32,-9,47500,5.55,10340,6.80,2169
ITIL,33,-3,45000,0,10335,6.80,1212
Analytics,34,14,55000,0,9428,6.20,1816
.NET Developer,35,-6,47500,9.19,9325,6.13,1839
Computer Science,36,0,50000,3.09,9166,6.03,1987
Architect,37,20,75000,0,8828,5.81,1645
Business Intelligence,38,1,50165,0.33,8777,5.77,1476
Oracle,39,-2,55000,10.00,8746,5.75,1387
Stakeholder Management,40,1,57500,0.43,8688,5.71,1022
Continuous Integration,41,12,57500,4.54,8503,5.59,1617
Web Services,42,-2,52500,5.00,8447,5.56,1603
Mentoring,43,21,55000,0,8328,5.48,1579
Banking,44,-9,65000,4.00,8274,5.44,951
QA,45,13,50000,0,8033,5.28,1455
Docker,46,43,62500,4.16,7927,5.21,1882
Microservices,47,49,65000,4.00,7897,5.19,1590
VMware,48,-1,45000,5.88,7801,5.13,1384
Java Developer,49,6,60000,9.09,7788,5.12,1459
SDLC,50,-7,52500,5.00,7786,5.12,1304
Senior Developer,51,1,60000,9.09,7637,5.02,1682
C# Developer,52,-3,47500,5.55,7604,5.00,1439
Retail,53,-9,52500,5.00,7598,5.00,1656
Marketing,54,4,50000,11.11,7331,4.82,1849
Consultant,55,-17,57500,4.54,7320,4.81,1574
Windows Server,56,-2,40000,0,7249,4.77,1249
React,57,17,55000,4.76,7223,4.75,1862
C,58,3,52500,5.00,7221,4.75,1987
Office 365,59,16,40000,0,7191,4.73,1269
User Experience,60,5,51644,3.28,7028,4.62,1835
Firewall,61,7,47500,5.55,6915,4.55,1221
Cisco,62,5,47500,5.55,6538,4.30,1276
OO,63,-17,50000,0,6503,4.28,1488
PHP,64,-19,42500,4.93,6465,4.25,1789
jQuery,65,-23,45000,5.88,6434,4.23,1614
Web Development,66,-16,45000,5.88,6389,4.20,1833
Software Engineer,67,9,50000,0,6346,4.17,1723
HTML5,68,-17,50000,11.11,6343,4.17,1655
Node.js,69,-6,55000,10.00,6260,4.12,1725
Microsoft Office,70,1,34500,6.15,6181,4.07,983
MySQL,71,-11,47500,5.55,6171,4.06,1470
Jenkins,72,16,60000,4.34,6149,4.04,1338
JIRA,73,14,50000,0,6095,4.01,1142
BDD,74,-18,55000,10.00,5902,3.88,1052
Spring,75,6,57500,4.54,5822,3.83,1194
Fintech,76,37,62500,4.16,5813,3.82,981
Continuous Improvement,77,16,54425,3.66,5800,3.81,982
RESTful,78,-9,55000,10.00,5757,3.79,1286
E-Commerce,79,-17,52500,0,5655,3.72,1202
CRM,80,-10,50000,2.04,5652,3.72,1126
ASP.NET MVC,81,-22,47500,5.55,5629,3.70,1115
Greenfield Project,82,-2,57500,9.52,5537,3.64,1093
REST,83,-1,55000,0,5476,3.60,1203
Information Security,84,27,60000,0,5406,3.56,663
Software Developer,85,5,42500,0,5397,3.55,1452
Big Data,86,6,67500,8.00,5387,3.54,910
Project Manager,87,-10,55000,0.28,5297,3.48,675
Business Analyst,88,-16,50000,0,5250,3.45,511
PowerShell,89,30,52500,0.96,5164,3.40,866
SAP,90,-24,57500,4.54,5155,3.39,705
NoSQL,91,-13,57500,4.54,5083,3.34,957
Coaching,92,39,55000,-4.34,5065,3.33,773
Front End Development,93,-10,50000,11.11,5039,3.31,1422
Self-Motivation,94,3,44000,-2.22,4997,3.29,1156
Security Cleared,95,32,50000,11.11,4971,3.27,1511
VMware Infrastructure,96,-1,45000,5.88,4947,3.25,896
Unix,97,-24,55000,1.85,4919,3.24,842
C,98,2,50000,0,4914,3.23,1648
XML,99,-20,47500,0,4785,3.15,906
SaaS,100,10,57500,4.54,4783,3.15,834
Cybersecurity,101,65,55000,-4.34,4677,3.08,927
Migration,102,18,57500,4.54,4675,3.07,956
T-SQL,103,-12,45500,1.11,4673,3.07,840
ASP.NET Web API,104,-10,50000,11.11,4641,3.05,875
Machine Learning,105,58,65000,8.33,4606,3.03,844
C# .NET Developer,106,-20,47500,5.55,4601,3.03,820
Google,107,-2,60000,33.33,4586,3.02,1279
Mathematics,108,4,50000,0,4560,3.00,1051
Telecoms,109,-3,50000,5.26,4555,3.00,922
Change Management,110,-8,54000,1.40,4475,2.94,565
Ansible,111,50,65000,4.00,4422,2.91,904
Microsoft Excel,112,-5,42500,6.25,4396,2.89,832
.NET Framework,113,-28,47500,5.55,4392,2.89,1028
Open Source,114,-6,58032,0.92,4390,2.89,917
Business Analysis,115,-14,52500,5.00,4374,2.88,475
Selenium,116,-1,47500,0,4332,2.85,801
Service Delivery,117,-1,50000,0,4324,2.84,625
Kubernetes,118,153,65000,0,4294,2.82,1122
Relational Database,119,5,52500,5.00,4287,2.82,797
Data Warehouse,120,2,55000,10.00,4270,2.81,784
Data Centre,121,4,55000,0,4241,2.79,686
Management Information System,122,17,50000,0,4182,2.75,671
Computer Science Degree,123,-2,50000,5.26,4118,2.71,796
Waterfall,124,46,55000,4.76,4095,2.69,474
Unit Testing,125,-8,50000,0,4093,2.69,873
SQL Server Integration Services,126,-12,50000,5.26,4078,2.68,702
Junior,127,-4,30000,0,4063,2.67,938
Support Engineer,128,2,32500,3.17,4037,2.66,529
Decision-Making,129,43,52500,-4.54,3992,2.63,607
PRINCE2,130,-21,54425,3.66,3977,2.62,422
DevOps Engineer,131,46,65000,8.33,3858,2.54,880
SQL Server Reporting Services,132,-29,47500,5.55,3851,2.53,721
Presales,133,19,65000,4.00,3830,2.52,621
ETL,134,8,55000,10.00,3795,2.50,631
WAN,135,-1,45000,0,3771,2.48,684
Infrastructure Engineering,136,21,47500,9.19,3752,2.47,812
SharePoint,137,-4,45000,0,3748,2.47,699
Service Management,138,6,47500,-2.57,3746,2.46,373
Support Analyst,139,-7,32500,8.33,3738,2.46,358
Risk Management,140,11,60000,0,3727,2.45,474
Cisco Certification,141,2,50000,11.11,3725,2.45,595
Artificial Intelligence,142,106,65000,8.33,3704,2.44,734
Ruby,143,-59,57500,8.49,3687,2.43,706
Puppet,144,-8,60298,0.49,3678,2.42,667
Visual Studio,145,3,47500,5.55,3666,2.41,717
CSS3,146,-47,47500,5.55,3661,2.41,1043
Mobile App,147,-19,50000,5.26,3625,2.38,844
ERP,148,-30,52500,5.00,3624,2.38,930
LAN,149,10,43500,2.35,3590,2.36,652
DNS,150,-1,42500,0,3569,2.35,705
Windows 10,151,48,32500,3.17,3556,2.34,483
SLA,152,2,40000,12.67,3524,2.32,500
Android,153,-3,50000,5.26,3516,2.31,817
Data Science,154,40,65000,4.00,3514,2.31,526
Kanban,155,-10,57500,4.54,3476,2.29,590
User Stories,156,56,55000,10.00,3393,2.23,461
TCP/IP,157,-22,42500,0,3389,2.23,706
Front End Developer Client-Side Developer,158,-5,47500,5.55,3318,2.18,965
Continuous Delivery,159,82,60000,0,3307,2.18,535
PostgreSQL,160,59,60000,9.09,3289,2.16,643
Google Cloud Platform,161,227,67500,8.00,3279,2.16,771
